_TRI_FORM_R_BR_EZ.FACILITY_NAME,V_TRI_FORM_R_BR_EZ.CHEM_NAME,V_TRI_FORM_R_BR_EZ.REPORTING_YEAR,V_TRI_FORM_R_BR_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_OFF_SITE_RELEASE
US ARMY RADFORD ARMY AMMUNITION PLANT,Sulfuric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2012,55563,55563,0,0,0,55563
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2009,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonium nitrate (solution),1994,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2019,20142.1,19294,848.1,0,62,20204.1
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,2006,1.4,1.4,0,0,0,1.4
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,1995,9800,9800,0,0,0,9800
US ARMY RADFORD ARMY AMMUNITION PLANT,Diethyl phthalate,1994,9,0,9,0,0,9
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,1994,22000,22000,0,0,0,22000
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2003,1912,1612,300,0,0,1912
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),1996,134000,134000,0,0,0,134000
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2018,0,0,0,0,2,2
US ARMY RADFORD ARMY AMMUNITION PLANT,Mercury,2011,7,7,0,0,22.305,29.305
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2012,250489,250489,0,0,0,250489
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,1994,3955,0,3955,0,0,3955
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,1996,430,250,180,0,700,1130
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper compounds,2001,3011,2986,25,0,4588,7599
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2014,1417.5,1417.5,0,0,0,1417.5
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2019,10666.7,1391.7,0,9275,0,10666.7
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper  And Copper Compounds,2020,2711.6,2610,101.6,0,0,2711.6
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2005,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),2003,12800000,0,12800000,0,0,12800000
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,2002,2256,2240,16,0,24,2280
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2007,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),2019,9119342,0,9119342,0,0,9119342
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2016,57231,57218,13,0,0,57231
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2003,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,2016,4495,4393,102,0,2002.31474,6497.31474
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2015,.0004197,.0004197,0,0,0,.0004197
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,1998,40,20,20,0,0,40
US ARMY RADFORD ARMY AMMUNITION PLANT,2 6-Dinitrotoluene,2007,59,0,59,0,0,59
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,2014,7.9,7.9,0,0,0,7.9
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2012,.0003734,.0003734,0,0,0,.0003734
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),2007,13600000,0,13600000,0,0,13600000
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2011,2.578,.078,2.5,0,12970.9,12973.478
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,1997,3000,0,3000,0,0,3000
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2012,23914,23699,215,0,0,23914
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead  And Lead Compounds,2020,997.6,842,155.6,0,634.805,1632.405
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,2017,3806.9,3729,77.9,0,8370.7,12177.6
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,2012,3640,3573,67,0,9863.7,13503.7
US ARMY RADFORD ARMY AMMUNITION PLANT,Mercury,2019,.025,.025,0,0,0,.025
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2012,62522,24722,37800,0,0,62522
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2014,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,2008,40,40,0,0,.7,40.7
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2006,3.9,0,3.9,0,1.9,5.8
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),1995,133000,133000,0,0,0,133000
US ARMY RADFORD ARMY AMMUNITION PLANT,Sulfuric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2010,63000,63000,0,0,0,63000
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2011,2806.8,1964.8,0,842,0,2806.8
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),2005,11500000,0,11500000,0,0,11500000
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2006,.0017442,.0017442,0,0,0,.0017442
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2010,.08,.08,0,0,130.702,130.782
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2016,24161,23724,437,0,0,24161
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2008,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Mercury,2008,7,7,0,0,192,199
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,2010,19,19,0,0,57.4,76.4
